Michael Schumacher (1991-2006 / 2010-2012),,,,,
Year,Team,Total Team Points,Total Team Wins,Total Points,Total Wins
1991,Benetton,38.5,1,4,0
1992,Benetton,91,1,53,1
1993,Benetton,72,1,52,1
1994,Benetton,103,8,92,8
1995,Benetton,147,11,102,9
1996,Ferrari,70,3,59,3
1997,Ferrari,102,5,78,5
1998,Ferrari,133,6,86,6
1999,Ferrari,128,6,44,2
2000,Ferrari,170,10,108,9
2001,Ferrari,179,9,123,9
2002,Ferrari,221,15,144,11
2003,Ferrari,158,8,93,6
2004,Ferrari,262,15,148,13
2005,Ferrari,100,1,62,1
2006,Ferrari,201,9,121,7
2010,Mercedes,214,0,72,0
2011,Mercedes,165,0,76,0
2012,Mercedes,142,1,49,0
